"","new.id","tissue","x","y","rename_to","old.id"
"269","269","control2",6.72946948847366,6.17780464285714,"","new269"
"270","270","control2",6.14124276487117,6.10319869565217,"","new270"
"271","271","control2",5.99646873962573,6.07887774193548,"","new271"
"272","272","control2",6.37630241704509,5.914384,"","new272"
"273","273","control2",6.45679241704509,5.59491,"","new273"
"274","274","control2",7.42212841704509,5.3914604,"","new274"
"275","275","control2",7.05963610935278,5.22492384615384,"","new275"
"276","276","control2",6.54576841704509,5.07278,"","new276"
"277","277","control2",7.0118741313308,4.96413928571428,"","new277"
"278","278","control2",7.45630387159054,4.953695,"","new278"
"279","279","control2",8.57919020048458,5.62006394904459,"","new279"
"280","280","control2",8.95276255497612,5.45287965517241,"","new280"
"281","281","control2",8.11603462394164,5.32400482758621,"","new281"
"282","282","control2",8.34578110935278,5.21045653846154,"","new282"
"283","283","control2",7.28273698847366,4.04737688311688,"","new283"
"284","284","control2",7.22877286148953,3.89120444444444,"","new284"
"285","285","control2",6.8256099095824,3.65697835820896,"","new285"
"286","286","control2",7.38723641704508,3.6204095,"","new286"
"287","287","control2",6.99744527654922,3.58284809917355,"","new287"
"288","288","control2",8.80277537356683,0.646154347826087,"","new288"
"289","289","control2",8.32382625488293,0.363694054054055,"","new289"
"290","290","control2",9.59766534012201,0.60892,"","new290"
"291","291","control2",9.88417241704509,0.426054,"","new291"
"292","292","control2",9.62645832530197,0.389347155963303,"","new292"
"293","293","control2",9.43515508371175,0.244136666666667,"","new293"
"294","294","control2",10.7635049035316,2.5797927027027,"","new294"
"295","295","control2",12.0235044170451,1.988624,"","new295"
"296","296","control2",11.9078484170451,2.93005714285714,"","new296"
"297","297","control2",12.1846861269687,2.89938244274809,"","new297"
"298","298","control2",11.9397487223886,2.57780076335878,"","new298"
"299","299","control2",11.624029326136,2.55935772727273,"","new299"
"300","300","control2",12.0989179555066,2.44076246153846,"","new300"
"301","301","control2",19.4733641704697,10.0499468493151,"","new301"
"302","302","control2",19.1128939342865,9.96166772413793,"","new302"
"303","303","control2",19.2949348321394,9.70505056603773,"","new303"
"304","304","control2",17.86468655658,8.55189,"","new304"
"305","305","control2",17.7149931229274,8.15396294117647,"","new305"
"306","306","control2",19.8146953735668,7.45270869565217,"","new306"
"307","307","control2",15.9143295935157,6.55084,"","new307"
"308","308","control2",15.7597349170451,6.5655175,"","new308"
"309","309","control2",16.0593659871385,6.29216710280374,"","new309"
"310","310","control2",16.0181530116397,5.96512243243243,"","new310"
"311","311","control2",16.868285048624,5.44458610526316,"","new311"
"312","312","control2",16.4633649555066,5.41317730769231,"","new312"
"313","313","control2",17.4293723194841,5.12846292682927,"","new313"
"314","314","control2",17.6568441313308,4.940135,"","new314"
"315","315","control2",15.6906691313308,4.039175,"","new315"
"316","316","control2",15.3384027027594,4.04855428571428,"","new316"
"317","317","control2",15.2277869170451,3.9763115,"","new317"
"318","318","control2",15.8338061093528,3.91568230769231,"","new318"
"319","319","control2",16.1493728614895,4.11753555555555,"","new319"
"320","320","control2",16.1993422631989,3.81023538461538,"","new320"
"321","321","control2",16.7661184170451,3.68232285714286,"","new321"
"322","322","control2",16.4609019170451,0.559723499999999,"","new322"
"324","324","control2",17.5618973582216,0.215741647058822,"","new324"
"323","323","control2",17.1784874414353,0.235379999999999,"","new323"
"325","325","control2",17.134468004674,0.0428622680412358,"","new325"
"326","326","control2",19.9682804652379,2.28765638554217,"","new326"
"327","327","control2",20.1865514939682,1.60054461538461,"","new327"
"329","329","control2",20.4075766158029,1.47402310559006,"","new329"
"328","328","control2",20.8922852352269,1.48158590909091,"","new328"
"330","330","control2",20.1008758456165,1.25549885714286,"","new330"
"331","331","control2",20.7772161721471,1.10080734693877,"","new331"
"332","332","control2",20.1649825346921,1.07315647058823,"","new332"
"333","333","control2",20.8249969884737,2.96199428571428,"","new333"
"334","334","control2",20.6893337741879,2.80317428571428,"","new334"
"335.1","335.1","SP17-1782-A5",1.61285727039241,6.84974557838412,"","new335.1"
"335.2","335.2","SP17-1782-A5",1.74827331185739,6.72039000839353,"","new335.2"
"336","336","SP17-1782-A5",1.66819025352092,7.63848294871787,"","new336"
"337","337","SP17-1782-A5",3.19255137184168,8.3561945671464,"","new337"
"338","338","SP17-1782-A5",3.2080416592913,8.19429110181652,"","new338"
"339","339","SP17-1782-A5",5.08199526765228,7.74898402536546,"","new339"
"340","340","SP17-1782-A5",4.88663813655704,7.65427484440808,"","new340"
"341","341","SP17-1782-A5",4.87271458145907,7.4605429110582,"","new341"
"342","342","SP17-1782-A5",0.948936181916617,6.09860894770557,"","new342"
"343","343","SP17-1782-A5",0.891959255353441,5.85400354060676,"","new343"
"344","344","SP17-1782-A5",2.31427340574032,5.67477206546476,"","new344"
"345","345","SP17-1782-A5",2.63055671793613,5.62483399454958,"","new345"
"346","346","SP17-1782-A5",2.61899098157997,5.42080755463933,"","new346"
"347","347","SP17-1782-A5",3.39499938088188,6.38170182479241,"","new347"
"348","348","SP17-1782-A5",3.17996778796241,6.32117920347556,"","new348"
"349.1","349.1","SP17-1782-A5",4.11474809669421,6.70447612679441,"","new349.1"
"349.2","349.2","SP17-1782-A5",4.06433840690679,6.53346275562236,"","new349.2"
"350","350","SP17-1782-A5",5.39014812351051,7.01080147765739,"","new350"
"351","351","SP17-1782-A5",4.55654783268117,5.68387848032603,"","new351"
"352","352","SP17-1782-A5",3.25157428175832,4.44728745306001,"","new352"
"353","353","SP17-1782-A5",4.00969686205733,4.49127771295175,"","new353"
"354","354","SP17-1782-A5",4.9149387041323,4.43454756085709,"","new354"
"355","355","SP17-1782-A5",5.12830723839867,4.29237804303614,"","new355"
"356","356","SP17-1782-A5",2.21696077443249,4.71500453879596,"","new356"
"357","357","SP17-1782-A5",2.05118052309703,4.58289454265351,"","new357"
"358","358","SP17-1782-A5",2.26373094069899,4.46641455965257,"","new358"
"359","359","SP17-1782-A5",2.09833547402755,0.366629369707807,"","new359"
"360","360","SP17-1782-A5",2.07230776970323,0.0238099889407031,"","new360"
"361","361","SP17-1782-A5",4.89000546788135,2.94634444221481,"","new361"
"362","362","SP17-1782-A5",5.00502359796172,2.68485661113029,"","new362"
"363","363","SP17-1782-A5",4.15428713382711,2.96630314419633,"","new363"
"364","364","SP17-1782-A5",4.29028015141353,2.72503525493528,"","new364"
"365","365","SP17-1782-A5",3.03462133397556,3.02890997913027,"","new365"
"366","366","SP17-1782-A5",2.38347271457538,3.43645365663673,"","new366"
"367","367","SP17-1782-A5",2.29968976275204,2.89774935409118,"","new367"
"368","368","SP17-1782-A5",2.24768839198564,2.58807503543539,"","new368"
"369","369","SP17-1782-A5",0.29525342831056,2.04529377745973,"","new369"
"370","370","SP17-1782-A5",0.441896000264327,1.81162985608406,"","new370"
"371","371","SP17-1782-A5",2.3731638376738,1.9969565888287,"","new371"
"372","372","SP17-1782-A5",2.35458691723669,1.71008455427698,"","new372"
"373","373","SP17-1782-A5",1.61996599629426,1.12180832059572,"","new373"
"374","374","SP17-1782-A5",4.01970790345141,1.90161920734219,"","new374"
"375","375","SP17-1782-A5",4.12919265111277,1.58151817202748,"","new375"
"376","376","SP17-1782-A5",3.86453490860522,1.52192582339344,"","new376"
"377","377","SP17-1782-A5",3.36239833948732,1.28190829194111,"","new377"
"378","378","SP17-1782-A5",3.1894857106282,0.998770367169483,"","new378"
"379","379","SP19-5113",22.7084122512843,3.07719154877046,"","new379"
"380","380","SP19-5113",22.7050720103259,2.90437887893558,"","new380"
"381.1","381.1","SP19-5113",22.8815715360762,1.8476516653929,"","new381.1"
"381.2","381.2","SP19-5113",22.7415189688715,1.76472970372371,"","new381.2"
"382","382","SP19-5113",22.8439698621932,1.51076172317475,"","new382"
"383","383","SP19-5113",22.1583436421706,4.52347287094818,"","new383"
"384","384","SP19-5113",22.2571484230706,4.27852950978739,"","new384"
"385","385","SP19-5113",22.4613351543621,5.29419927271358,"","new385"
"386","386","SP19-5113",22.6246455027322,5.03396295516329,"","new386"
"387","387","SP19-5113",22.2517560669122,4.98679255493141,"","new387"
"388","388","SP19-5113",23.7643515720359,3.53282278117378,"","new388"
"389","389","SP19-5113",23.5611266021397,3.34404688107281,"","new389"
"390","390","SP19-5113",24.5765593730576,4.98671978627134,"","new390"
"391","391","SP19-5113",24.2047606025736,4.92563437005572,"","new391"
"392","392","SP19-5113",24.5944847202668,4.63565731117595,"","new392"
"393","393","SP19-5113",24.8890834740619,5.44823925773112,"","new393"
"394","394","SP19-5113",24.2576178350465,6.1385309937202,"","new394"
"395","395","SP19-5113",24.1538242910447,5.88934445992767,"","new395"
"396","396","SP19-5113",25.128503298993,6.9303186433828,"","new396"
"397","397","SP19-5113",25.1877115507779,6.59965860190962,"","new397"
"398","398","SP19-5113",25.0683075632133,6.53433402068012,"","new398"
"399","399","SP19-5113",25.8845227249756,7.39419996026603,"","new399"
"400","400","SP19-5113",26.0698623304884,7.19727929631609,"","new400"
"401","401","SP19-5113",26.9274008000063,6.44475985469849,"","new401"
"402","402","SP19-5113",26.6376253159733,5.56922221315127,"","new402"
"403","403","SP19-5113",26.92888534922,5.30301832616621,"","new403"
"404.1","404.1","SP19-5113",27.3421105186121,5.39269774438689,"","new404.1"
"405","405","SP19-5113",27.5888750367595,5.37672497879338,"","new405"
"404.2","404.2","SP19-5113",27.3080696099076,5.22048649755584,"","new404.2"
